"","Location ID (optional)","Latitude (decimal degrees)","Longitude (decimal degrees)","Datum","Coordinate determination method","Name of water body","Date","Observer name (the first and last name of the person handling fish)","Fish collection method","Species","Life stage","Length (mm) (NO estimates or ranges)","Length method","Weight (g)","Sex","Age","Age method (sample type)","ADF&G GCL","Additional count (1)","Disposition (1)","Additional count (2)","Disposition (2)","Anesthesia/ Sedative Used (Leave blank if none used)","Comments"
"1","Lower Soldotna Creek","","","","","",2021-05-06,"","","ninespine stickleback","not recorded",40,"Total",NA,"","","","","0","Measured and Released","","","",NA
"2","Lower Soldotna Creek","","","","","",2021-05-06,"","","ninespine stickleback","not recorded",58,"Total",NA,"","","","","0","Measured and Released","","","",NA
"3","Lower Soldotna Creek","","","","","",2021-05-06,"","","ninespine stickleback","not recorded",61,"Total",NA,"","","","","0","Measured and Released","","","",NA
"4","Lower Soldotna Creek","","","","","",2021-05-06,"","","rainbow trout","juvenile",65,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"5","Lower Soldotna Creek","","","","","",2021-05-06,"","","Chinook salmon","juvenile",92,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"6","McLain Lake NE","","","","","",2021-05-11,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","1","ID'ed and Released","","","","sculpin QC'ed by B. Meyer"
"7","McLain Lake NE","","","","","",2021-05-11,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","32","ID'ed and Released","","","",NA
"8","McLain Lake NE","","","","","",2021-05-11,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","9","ID'ed and Released","","","",NA
"9","McLain Lake NE","","","","","",2021-05-11,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","17","ID'ed and Released","","","",NA
"10","McLain Lake NE","","","","","",2021-05-11,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","99","ID'ed and Released","","","",NA
"11","McLain Lake NE","","","","","",2021-05-11,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","29","ID'ed and Released","","","",NA
"12","McLain Lake NE","","","","","",2021-05-11,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","2","ID'ed and Released","","","",NA
"13","Snag Lake South","","","","","",2021-05-12,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","1","ID'ed and Released","","","","QC'ed by B. Meyer"
"14","Snag Lake South","","","","","",2021-05-12,"","","stickleback-unspecified","not recorded",NA,NA,NA,"","","","","43","ID'ed and Released","","","",NA
"15","North Fork Anchor River","","","","","",2021-05-29,"","","lamprey-unspecified","not recorded",NA,NA,NA,"","","","","99","ID'ed and Released","","","",NA
"16","North Fork Anchor River","","","","","",2021-05-29,"","","Pacific salmon-unspecified","juvenile",NA,NA,NA,"","","","","224","ID'ed and Released","","","",NA
"17","North Fork Anchor River","","","","","",2021-05-29,"","","sculpin-unspecified","not recorded",NA,NA,NA,"","","","","3","ID'ed and Released","","","",NA
"18","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",50,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"19","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"20","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"21","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"22","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",60,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"23","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",65,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"24","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",70,"Fork",NA,"","","","","0","Measured and Released","","","","cute"
"25","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"26","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"27","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"28","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"29","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"30","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"31","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"32","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"33","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"34","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"35","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",80,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"36","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",80,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"37","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",85,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"38","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",85,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"39","Lower Soldotna Creek","","","","","",2021-06-05,"","","rainbow trout","parr",90,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"40","Lower Soldotna Creek","","","","","",2021-06-05,"","","slimy sculpin","juvenile",90,"Total",NA,"","","","","0","Measured and Released","","","",NA
"41","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",100,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"42","Lower Soldotna Creek","","","","","",2021-06-05,"","","slimy sculpin","juvenile",100,"Total",NA,"","","","","0","Measured and Released","","","",NA
"43","Lower Soldotna Creek","","","","","",2021-06-05,"","","slimy sculpin","juvenile",100,"Total",NA,"","","","","0","Measured and Released","","","",NA
"44","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"45","Lower Soldotna Creek","","","","","",2021-06-05,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"46","Lower Soldotna Creek","","","","","",2021-06-05,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","9","ID'ed and Released","","","",NA
"47","Lower Soldotna Creek","","","","","",2021-06-05,"","","slimy sculpin","not recorded",NA,NA,NA,"","","","","23","ID'ed and Released","","","",NA
"48","Lower Soldotna Creek","","","","","",2021-06-09,"","","Chinook salmon","juvenile",50,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"49","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",65,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"50","Lower Soldotna Creek","","","","","",2021-06-09,"","","rainbow trout","juvenile",70,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"51","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",150,"Fork",NA,"","","","","0","Measured and Released","","","",NA
"52","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"53","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"54","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"55","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","","BM, DA, Rachel Sensabaugh, Roger Sensabaugh"
"56","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"57","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"58","Lower Soldotna Creek","","","","","",2021-06-09,"","","coho salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"59","Lower Soldotna Creek","","","","","",2021-06-09,"","","rainbow trout","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"60","Lower Soldotna Creek","","","","","",2021-06-09,"","","rainbow trout","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"61","Lower Soldotna Creek","","","","","",2021-06-09,"","","rainbow trout","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"62","Lower Soldotna Creek","","","","","",2021-06-09,"","","rainbow trout","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"63","Lower Soldotna Creek","","","","","",2021-06-09,"","","rainbow trout","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"64","Lower Soldotna Creek","","","","","",2021-06-09,"","","rainbow trout","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"65","Lower Soldotna Creek","","","","","",2021-06-09,"","","slimy sculpin","juvenile",NA,NA,NA,"","","","","9","ID'ed and Released","","","",NA
"66","Lower Soldotna Creek","","","","","",2021-06-23,"","","Chinook salmon","juvenile",NA,NA,NA,"","","","","0","ID'ed and Released","","","",NA
"67","Lower Soldotna Creek","","","","","",2021-06-23,"","","coho salmon","juvenile",NA,NA,NA,"","","","","9","ID'ed and Released","","","",NA
"68","Lower Soldotna Creek","","","","","",2021-06-23,"","","slimy sculpin","juvenile",NA,NA,NA,"","","","","1","ID'ed and Released","","","",NA
"69","Lower Soldotna Creek","","","","","",2021-06-28,"","","coho salmon","juvenile",NA,NA,NA,"","","","","2","ID'ed and Released","","","",NA
